incident_id,location,sub_location,datetime_occurred,hour,part_of_day,crime_type,description,is_user_report,Risk_Label
MUM-2022-15699,Marine Drive,Girgaum Chowpatty,11-07-2022 23:30,23,Night,Burglary,Unauthorized entry into a second-floor flat at Girgaum Chowpatty while occupants were away.,FALSE,High
MUM-2024-13830,Worli,Worli Sea Face,05-02-2024 12:16,12,Afternoon,Assault,"A passerby was pushed during a scuffle at Worli Sea Face, witnesses report a group confrontation.",FALSE,High
MUM-2023-13420,Bandra,Pali Hill,28-05-2023 21:50,21,Night,Vandalism,"Graffiti and broken windows found at a shopfront in Pali Hill, incident likely occurred night.",FALSE,High
MUM-2022-00961,Dharavi,Koliwada,23-06-2022 18:08,18,Evening,Theft,A commuter reported a wallet snatched from their bag on a crowded vehicle near Koliwada.,TRUE,Medium
MUM-2023-17745,Andheri West,Veera Desai Road,02-08-2023 14:21,14,Afternoon,Assault,Two individuals fought near Veera Desai Road after a verbal dispute escalated late afternoon.,FALSE,High
MUM-2023-09865,Ghatkopar,Station Road,01-12-2023 00:45,0,Night,Burglary,Residential unit in Station Road reported forced entry; valuables missing from bedroom.,FALSE,High
MUM-2022-11264,Chembur,Deonar,26-12-2022 20:49,20,Evening,Assault,"A passerby was pushed during a scuffle at Deonar, witnesses report a group confrontation.",FALSE,High
MUM-2024-15783,Powai,Powai Lake,12-08-2024 01:08,1,Night,Theft,Shopkeeper noticed items missing from a stall at Powai Lake during the night rush.,FALSE,High
MUM-2023-17197,Worli,Prabhadevi Junction,21-03-2023 12:51,12,Afternoon,Theft,Personal belongings taken from a parked two-wheeler outside Prabhadevi Junction while owner shopped nearby.,FALSE,Low
MUM-2022-07555,Chembur,Tilak Nagar,15-04-2022 23:46,23,Night,Burglary,Unauthorized entry into a second-floor flat at Tilak Nagar while occupants were away.,FALSE,High
MUM-2024-10499,Powai,Hiranandani Gardens,03-08-2024 15:01,15,Afternoon,Theft,A commuter reported a backpack snatched from their bag on a crowded vehicle near Hiranandani Gardens.,FALSE,Low
MUM-2023-17060,Thane,Majiwada,04-05-2023 11:31,11,Morning,Theft,Personal belongings taken from a parked two-wheeler outside Majiwada while owner shopped nearby.,FALSE,Low
MUM-2023-17929,Bandra,Hill Road,19-09-2023 22:48,22,Night,Assault,"An altercation turned physical outside a popular eatery in Hill Road, leaving the victim with minor injuries.",FALSE,High
MUM-2023-07086,Cuffe Parade,Badhwar Park,02-10-2023 10:55,10,Morning,Theft,Shopkeeper noticed items missing from a stall at Badhwar Park during the morning rush.,FALSE,Low
MUM-2023-14754,Powai,Hiranandani Gardens,05-11-2023 00:02,0,Night,Public Disturbance,"Loud rowdy crowd reported outside a bar at Hiranandani Gardens, police were called for crowd control.",FALSE,High
MUM-2022-04520,Marine Drive,Wankhede Vicinity,05-02-2022 04:38,4,Night,Theft,A commuter reported a backpack snatched from their bag on a crowded vehicle near Wankhede Vicinity.,FALSE,High
MUM-2024-03025,Juhu,Santacruz Link Rd,13-12-2024 15:31,15,Afternoon,Theft,Personal belongings taken from a parked two-wheeler outside Santacruz Link Rd while owner shopped nearby.,FALSE,Low
MUM-2022-12122,Andheri West,Veera Desai Road,27-10-2022 16:41,16,Afternoon,Assault,Two individuals fought near Veera Desai Road after a verbal dispute escalated late afternoon.,FALSE,High
MUM-2023-18495,Ghatkopar,Station Road,12-07-2023 02:05,2,Night,Public Disturbance,Motorists reported reckless driving and honking causing public disturbance near Station Road.,TRUE,High
MUM-2024-05484,Dharavi,Lohar Chawl,25-01-2024 01:39,1,Night,Vandalism,"Public property damaged at Lohar Chawl, including benches and signage.",FALSE,High
MUM-2023-01420,Bandra,Hill Road,05-06-2023 19:46,19,Evening,Sexual Harassment,An individual shouted sexual comments at a person walking alone near Hill Road.,FALSE,High
MUM-2022-06210,Marine Drive,Girgaum Chowpatty,26-06-2022 13:17,13,Afternoon,Theft,A commuter reported a wallet snatched from their bag on a crowded vehicle near Girgaum Chowpatty.,FALSE,Low
MUM-2022-10743,Andheri West,SV Road,10-05-2022 15:55,15,Afternoon,Theft,Personal belongings taken from a parked two-wheeler outside SV Road while owner shopped nearby.,FALSE,Low
MUM-2024-16144,Thane,Ghodbunder Road,28-01-2024 14:42,14,Afternoon,Armed Robbery,A motorbike-borne duo stopped a pedestrian at Ghodbunder Road and forcibly stole belongings during late afternoon.,FALSE,High
MUM-2022-17618,Thane,Majiwada,18-03-2022 13:13,13,Afternoon,Public Disturbance,"Loud rowdy crowd reported outside a bar at Majiwada, police were called for crowd control.",FALSE,Low
MUM-2022-14569,Marine Drive,Wankhede Vicinity,31-12-2022 03:30,3,Night,Vandalism,"Public property damaged at Wankhede Vicinity, including benches and signage.",FALSE,High
MUM-2024-00981,Dharavi,Central Dharavi,21-08-2024 21:50,21,Night,Assault,"A passerby was pushed during a scuffle at Central Dharavi, witnesses report a group confrontation.",FALSE,High
MUM-2024-02784,Dharavi,Central Dharavi,23-01-2024 07:09,7,Morning,Fraud,Fake rental listing led to advance payment loss for an apartment in Dharavi.,FALSE,Medium
MUM-2024-07714,Powai,Hiranandani Gardens,24-06-2024 19:45,19,Evening,Assault,"A passerby was pushed during a scuffle at Hiranandani Gardens, witnesses report a group confrontation.",FALSE,High
MUM-2022-11519,Dharavi,Koliwada,21-08-2022 22:13,22,Night,Vandalism,"Graffiti and broken windows found at a shopfront in Koliwada, incident likely occurred night.",FALSE,High
MUM-2022-08601,Worli,Lower Parel Border,28-10-2022 18:52,18,Evening,Assault,Two individuals fought near Lower Parel Border after a verbal dispute escalated late evening.,FALSE,High
MUM-2023-11641,Juhu,Juhu Beachfront,06-06-2023 00:05,0,Night,Arson,Suspicious fire observed at an abandoned warehouse near Juhu Beachfront late night.,FALSE,High
MUM-2023-18831,Worli,Lower Parel Border,14-04-2023 17:37,17,Evening,Drug Offense,Suspected narcotics recovered during a raid in a lane off Lower Parel Border.,TRUE,High
MUM-2022-12563,Andheri West,SV Road,17-11-2022 01:11,1,Night,Burglary,Unauthorized entry into a second-floor flat at SV Road while occupants were away.,FALSE,High
MUM-2023-12752,Marine Drive,Netaji Subhash Marg,23-03-2023 19:25,19,Evening,Theft,Shopkeeper noticed items missing from a stall at Netaji Subhash Marg during the evening rush.,FALSE,Medium
MUM-2024-06385,Colaba,Gateway Circle,01-08-2024 14:16,14,Afternoon,Assault,"A passerby was pushed during a scuffle at Gateway Circle, witnesses report a group confrontation.",FALSE,High
MUM-2022-04808,Worli,Lower Parel Border,16-12-2022 19:45,19,Evening,Armed Robbery,Armed robbers targeted a convenience shop near Lower Parel Border and escaped before police arrived.,FALSE,High
MUM-2022-06196,Ghatkopar,Station Road,03-08-2022 18:42,18,Evening,Theft,Personal belongings taken from a parked two-wheeler outside Station Road while owner shopped nearby.,FALSE,Medium
MUM-2022-10649,Thane,Ghodbunder Road,21-08-2022 17:20,17,Evening,Arson,Suspicious fire observed at an abandoned warehouse near Ghodbunder Road late evening.,FALSE,High
MUM-2024-07568,Ghatkopar,Station Road,08-11-2024 13:14,13,Afternoon,Theft,Shopkeeper noticed items missing from a stall at Station Road during the afternoon rush.,FALSE,Low
MUM-2024-16398,Colaba,Colaba Causeway,21-09-2024 07:41,7,Morning,Cybercrime,Card-not-present fraud reported following online purchases traced to a merchant near Colaba.,FALSE,Medium
MUM-2023-17525,Ghatkopar,Kailash Nagar,24-01-2023 11:52,11,Morning,Theft,Personal belongings taken from a parked two-wheeler outside Kailash Nagar while owner shopped nearby.,FALSE,Low
MUM-2022-01347,Chembur,Tilak Nagar,24-11-2022 00:55,0,Night,Assault,Two individuals fought near Tilak Nagar after a verbal dispute escalated late night.,FALSE,High
MUM-2022-13125,Andheri West,SV Road,25-05-2022 07:45,7,Morning,Theft,Personal belongings taken from a parked two-wheeler outside SV Road while owner shopped nearby.,FALSE,Low
MUM-2022-12674,Ghatkopar,Kailash Nagar,20-08-2022 11:33,11,Morning,Theft,Personal belongings taken from a parked two-wheeler outside Kailash Nagar while owner shopped nearby.,FALSE,Low
MUM-2022-15456,Dharavi,Central Dharavi,18-11-2022 12:28,12,Afternoon,Assault,"A passerby was pushed during a scuffle at Central Dharavi, witnesses report a group confrontation.",FALSE,High
MUM-2022-14002,Cuffe Parade,Cuffe Parade Market,14-10-2022 13:40,13,Afternoon,Theft,Shopkeeper noticed items missing from a stall at Cuffe Parade Market during the afternoon rush.,FALSE,Low
MUM-2023-18622,Andheri West,SV Road,24-11-2023 09:21,9,Morning,Burglary,Residential unit in SV Road reported forced entry; valuables missing from bedroom.,FALSE,Medium
MUM-2024-02120,Ghatkopar,Station Road,12-06-2024 03:50,3,Night,Drug Offense,Reports of drug peddling around a market area at Station Road prompted a follow-up investigation.,FALSE,High
MUM-2022-15305,Dharavi,Koliwada,12-08-2022 15:56,15,Afternoon,Burglary,Household electronics stolen after burglars broke into a home on Koliwada street.,FALSE,Medium
MUM-2024-04310,Powai,Hiranandani Gardens,25-03-2024 14:34,14,Afternoon,Fraud,Fake rental listing led to advance payment loss for an apartment in Powai.,FALSE,Medium
MUM-2022-04485,Juhu,JVPD Scheme,20-12-2022 18:20,18,Evening,Theft,Shopkeeper noticed items missing from a stall at JVPD Scheme during the evening rush.,TRUE,Medium
MUM-2023-11014,Juhu,Santacruz Link Rd,16-11-2023 11:15,11,Morning,Theft,Personal belongings taken from a parked two-wheeler outside Santacruz Link Rd while owner shopped nearby.,TRUE,Low
MUM-2024-04771,Thane,Kopri,06-06-2024 10:22,10,Morning,Theft,Personal belongings taken from a parked two-wheeler outside Kopri while owner shopped nearby.,FALSE,Low
MUM-2024-02713,Ghatkopar,Kailash Nagar,19-01-2024 05:16,5,Night,Assault,"An altercation turned physical outside a popular eatery in Kailash Nagar, leaving the victim with minor injuries.",FALSE,High
MUM-2023-12187,Cuffe Parade,Cuffe Parade Promenade,07-08-2023 05:22,5,Night,Vandalism,"Graffiti and broken windows found at a shopfront in Cuffe Parade Promenade, incident likely occurred night.",FALSE,High
MUM-2024-16616,Cuffe Parade,Cuffe Parade Promenade,20-01-2024 18:23,18,Evening,Assault,Two individuals fought near Cuffe Parade Promenade after a verbal dispute escalated late evening.,FALSE,High
MUM-2024-10948,Ghatkopar,R City Area,20-12-2024 06:38,6,Morning,Sexual Harassment,Commuter reported inappropriate touching on a crowded bus near R City Area in the morning.,FALSE,High
MUM-2023-02546,Andheri West,Lokhandwala Complex,06-08-2023 22:14,22,Night,Public Disturbance,"Loud rowdy crowd reported outside a bar at Lokhandwala Complex, police were called for crowd control.",TRUE,High
MUM-2022-12620,Juhu,Santacruz Link Rd,13-09-2022 22:31,22,Night,Burglary,Household electronics stolen after burglars broke into a home on Santacruz Link Rd street.,FALSE,High
MUM-2023-09852,Ghatkopar,Station Road,19-01-2023 14:11,14,Afternoon,Cybercrime,Victim reported unauthorized access to an online account after clicking a suspicious link during afternoon.,FALSE,Medium
MUM-2023-04411,Cuffe Parade,Badhwar Park,20-08-2023 20:28,20,Evening,Theft,Personal belongings taken from a parked two-wheeler outside Badhwar Park while owner shopped nearby.,FALSE,Medium
MUM-2022-19648,Andheri West,SV Road,23-01-2022 15:36,15,Afternoon,Fraud,Fake rental listing led to advance payment loss for an apartment in Andheri West.,FALSE,Medium
MUM-2022-12345,Juhu,JVPD Scheme,03-11-2022 19:17,19,Evening,Assault,"A passerby was pushed during a scuffle at JVPD Scheme, witnesses report a group confrontation.",FALSE,High
MUM-2022-12408,Powai,Powai Lake,22-08-2022 13:36,13,Afternoon,Theft,Shopkeeper noticed items missing from a stall at Powai Lake during the afternoon rush.,FALSE,Low
MUM-2023-09611,Cuffe Parade,Cuffe Parade Market,26-09-2023 00:29,0,Night,Burglary,Residential unit in Cuffe Parade Market reported forced entry; valuables missing from bedroom.,FALSE,High
MUM-2022-10719,Powai,Powai Lake,18-11-2022 02:25,2,Night,Theft,Personal belongings taken from a parked two-wheeler outside Powai Lake while owner shopped nearby.,FALSE,High
MUM-2023-07572,Juhu,Juhu Beachfront,26-04-2023 09:08,9,Morning,Public Disturbance,Motorists reported reckless driving and honking causing public disturbance near Juhu Beachfront.,FALSE,Low
MUM-2022-03571,Colaba,Colaba Causeway,03-02-2022 15:26,15,Afternoon,Assault,"A passerby was pushed during a scuffle at Colaba Causeway, witnesses report a group confrontation.",TRUE,High
MUM-2022-08603,Chembur,Chembur Causeway,12-12-2022 16:34,16,Afternoon,Drug Offense,Reports of drug peddling around a market area at Chembur Causeway prompted a follow-up investigation.,FALSE,Medium
MUM-2022-03560,Worli,Worli Sea Face,11-09-2022 18:07,18,Evening,Assault,"A passerby was pushed during a scuffle at Worli Sea Face, witnesses report a group confrontation.",FALSE,High
MUM-2022-04992,Worli,Prabhadevi Junction,05-08-2022 16:34,16,Afternoon,Public Disturbance,Motorists reported reckless driving and honking causing public disturbance near Prabhadevi Junction.,TRUE,Low
MUM-2023-07440,Colaba,Colaba Causeway,09-11-2023 20:31,20,Evening,Theft,Shopkeeper noticed items missing from a stall at Colaba Causeway during the evening rush.,FALSE,Medium
MUM-2022-09326,Marine Drive,Netaji Subhash Marg,30-01-2022 19:05,19,Evening,Sexual Harassment,Commuter reported inappropriate touching on a crowded bus near Netaji Subhash Marg in the evening.,FALSE,High
MUM-2024-02301,Marine Drive,Girgaum Chowpatty,03-09-2024 15:16,15,Afternoon,Fraud,Fake rental listing led to advance payment loss for an apartment in Marine Drive.,FALSE,Medium
MUM-2024-07667,Andheri West,Veera Desai Road,19-08-2024 13:24,13,Afternoon,Burglary,Unauthorized entry into a second-floor flat at Veera Desai Road while occupants were away.,FALSE,Medium
MUM-2022-05805,Thane,Majiwada,21-11-2022 20:29,20,Evening,Assault,Two individuals fought near Majiwada after a verbal dispute escalated late evening.,FALSE,High
MUM-2023-12023,Powai,Hiranandani Gardens,02-03-2023 07:30,7,Morning,Drug Offense,Reports of drug peddling around a market area at Hiranandani Gardens prompted a follow-up investigation.,FALSE,Medium
MUM-2023-15538,Ghatkopar,R City Area,11-03-2023 19:07,19,Evening,Burglary,Household electronics stolen after burglars broke into a home on R City Area street.,FALSE,Medium
MUM-2022-09758,Dharavi,Koliwada,06-11-2022 18:52,18,Evening,Arson,Small blaze deliberately set to waste pile at Koliwada; quick response contained it.,FALSE,High
MUM-2023-12015,Marine Drive,Netaji Subhash Marg,13-09-2023 18:36,18,Evening,Theft,A commuter reported a parcel snatched from their bag on a crowded vehicle near Netaji Subhash Marg.,FALSE,Medium
MUM-2023-05212,Ghatkopar,Kailash Nagar,17-03-2023 08:27,8,Morning,Theft,A commuter reported a parcel snatched from their bag on a crowded vehicle near Kailash Nagar.,FALSE,Low
MUM-2024-11549,Cuffe Parade,Badhwar Park,03-11-2024 23:45,23,Night,Public Disturbance,"Loud rowdy crowd reported outside a bar at Badhwar Park, police were called for crowd control.",FALSE,High
MUM-2022-12367,Dharavi,Lohar Chawl,18-12-2022 12:39,12,Afternoon,Fraud,"A victim reported a suspicious transaction after responding to a message promising returns, linked to a contact based near Dharavi.",FALSE,Medium
MUM-2022-09271,Dharavi,Koliwada,13-12-2022 17:39,17,Evening,Assault,"A passerby was pushed during a scuffle at Koliwada, witnesses report a group confrontation.",FALSE,High
MUM-2022-03976,Andheri West,Lokhandwala Complex,14-06-2022 00:26,0,Night,Sexual Harassment,Commuter reported inappropriate touching on a crowded bus near Lokhandwala Complex in the night.,TRUE,High
MUM-2024-16091,Powai,Hiranandani Gardens,16-06-2024 16:24,16,Afternoon,Theft,A commuter reported a phone snatched from their bag on a crowded vehicle near Hiranandani Gardens.,FALSE,Low
MUM-2024-17233,Colaba,Gateway Circle,12-10-2024 18:13,18,Evening,Vandalism,"Graffiti and broken windows found at a shopfront in Gateway Circle, incident likely occurred evening.",FALSE,Medium
MUM-2024-17444,Chembur,Deonar,30-03-2024 13:23,13,Afternoon,Theft,Shopkeeper noticed items missing from a stall at Deonar during the afternoon rush.,FALSE,Low
MUM-2022-13657,Worli,Prabhadevi Junction,04-04-2022 17:03,17,Evening,Assault,"A passerby was pushed during a scuffle at Prabhadevi Junction, witnesses report a group confrontation.",FALSE,High
MUM-2023-15646,Chembur,Chembur Causeway,28-02-2023 13:17,13,Afternoon,Sexual Harassment,Commuter reported inappropriate touching on a crowded bus near Chembur Causeway in the afternoon.,FALSE,High
MUM-2023-02731,Cuffe Parade,Cuffe Parade Market,01-04-2023 02:29,2,Night,Vandalism,Vehicles had tires slashed overnight in the parking lane near Cuffe Parade Market.,FALSE,High
MUM-2023-03299,Powai,Hiranandani Gardens,08-08-2023 15:21,15,Afternoon,Assault,"A passerby was pushed during a scuffle at Hiranandani Gardens, witnesses report a group confrontation.",FALSE,High
MUM-2024-08957,Cuffe Parade,Cuffe Parade Market,15-12-2024 23:49,23,Night,Burglary,Residential unit in Cuffe Parade Market reported forced entry; valuables missing from bedroom.,FALSE,High
MUM-2024-17411,Marine Drive,Wankhede Vicinity,02-06-2024 16:37,16,Afternoon,Theft,Shopkeeper noticed items missing from a stall at Wankhede Vicinity during the afternoon rush.,FALSE,Low
MUM-2024-15156,Dharavi,Lohar Chawl,24-06-2024 02:24,2,Night,Burglary,Unauthorized entry into a second-floor flat at Lohar Chawl while occupants were away.,FALSE,High
MUM-2022-17277,Chembur,Chembur Causeway,20-07-2022 02:30,2,Night,Public Disturbance,Motorists reported reckless driving and honking causing public disturbance near Chembur Causeway.,FALSE,High
MUM-2022-06704,Marine Drive,Netaji Subhash Marg,28-09-2022 15:22,15,Afternoon,Assault,"A passerby was pushed during a scuffle at Netaji Subhash Marg, witnesses report a group confrontation.",FALSE,High
MUM-2023-01969,Dharavi,Lohar Chawl,25-12-2023 02:09,2,Night,Assault,"An altercation turned physical outside a popular eatery in Lohar Chawl, leaving the victim with minor injuries.",FALSE,High
MUM-2022-04937,Worli,Lower Parel Border,16-02-2022 22:07,22,Night,Sexual Harassment,An individual shouted sexual comments at a person walking alone near Lower Parel Border.,TRUE,High
MUM-2024-02113,Dharavi,Central Dharavi,20-03-2024 15:04,15,Afternoon,Theft,Shopkeeper noticed items missing from a stall at Central Dharavi during the afternoon rush.,FALSE,Low
MUM-2023-00879,Chembur,Tilak Nagar,20-04-2023 21:36,21,Night,Theft,A commuter reported a backpack snatched from their bag on a crowded vehicle near Tilak Nagar.,FALSE,High
MUM-2024-19076,Colaba,Gateway Circle,04-10-2024 07:19,7,Morning,Burglary,Residential unit in Gateway Circle reported forced entry; valuables missing from bedroom.,FALSE,Medium
MUM-2023-12990,Powai,Hiranandani Gardens,16-05-2023 09:53,9,Morning,Theft,A commuter reported a handbag snatched from their bag on a crowded vehicle near Hiranandani Gardens.,FALSE,Low
